ID,Date,Source,Title,Authors,URL,Type,Ideology,TacticalActor,OperationalTarget,TacticMO,Location,Summary,Analyst
337,10/1/2025,2,Criticism mounts of Ecuador president's war-like strategy against drug traffickers,"Josh Vardey, Juliette Chaignon, Guillaume Gosalbes",https://www.france24.com/en/tv-shows/focus/20250110-criticism-mounts-of-ecuador-president-s-war-like-strategy-against-drug-traffickers,4,13,71,7,2;7;12,51,Ecuador has been accused of violating human rights and conducting extrajudicial killings in the country's new armed campaign against drug trafficking and gang involvement. The government asserts violent deaths have now been reduced by 18%.,4
338,10/1/2025,5,Chaos and an abduction in Caracas as Canada recognizes Venezuelan opposition,Evan Dyer,https://www.cbc.ca/news/politics/venezuela-opposition-machado-abduction-1.7427473,5,19,71,14,4,189,"Her first time returning to public after avoiding political crackdowns, Maria Machado was briefly detained from an anti-government protest. Her politcial party assert she was arrested by government authorities.",4
339,10/1/2025,5,Venezuela opposition leader Maria Corina Machado freed after detention [updated],,https://www.cbc.ca/news/world/venezuela-machado-detained-1.7427337,5,19,71,11,4,189,"After being briefly detained, opposition leader Machado was released. Her political party claimed she was arrested by the government and was forced to film political videos, but the Interior Minister called the arrest an ""invention"".",4
340,10/1/2025,5,Canada imposes new sanctions as Venezuelan President Maduro sworn in despite global condemnation,,https://www.cbc.ca/news/world/venezuela-maduro-sworn-in-1.7428114,4,13,71,6,1,189,Canada has applied sanctions against 14 Venezeulan officials as Maduro was sworn back into office. The 14 targets have been accused of engaging in or supporting the violation of human rights.,4
341,10/1/2025,5,"Edgar Welch, gunman from 'Pizzagate' political conspiracy case, shot dead by N.C. police",,https://www.cbc.ca/news/world/pizzagate-gunman-killed-1.7427770,2,14,70,14,2;8,185,"Edgar Welch was fatally shot on the 4/1 after allegedly pulling a handgun on police. Welch was incarcerated for 4 years in 2017 for ""Pizzagate"", a conspiracy theory which led him to fire an assualt rifle in a restaurant.",4
342,10/1/2025,9,"Australia says it doesn't control Nauru detention centre, as UN says it violated human rights",,https://www.sbs.com.au/news/article/australia-says-it-doesnt-control-nauru-detention-centre-as-un-says-it-violated-human-rights/j6hclrcyk,4,13,71,9,10,9;121,"Australia has responding to UN allegations of human rights violations in the Nauru detention centre by by denying legal responsbility for the centre. According to the UN statement, the Nauru facility is still within Australian jurisdiction.",4
343,10/1/2025,9,Midday News Bulletin 10 January 2025,Sunil Awasthi,https://www.sbs.com.au/news/podcast-episode/midday-news-bulletin-10-january-2025/lx4w556q7,4,13,71,9,12,9;121,"In a UN report, Australia has been found responsbile for human rights violations in the Nauru detention facility.",4
344,10/1/2025,9,Albanese condemns 'vile' graffiti after second synagogue targeted with Nazi symbol,,https://www.sbs.com.au/news/article/albanese-condemns-vile-graffiti-after-second-synagogue-targeted-with-nazi-symbol/1so96ldmz,2,11,71,14;15,2,9,"Prime Minister Albanese has denounced Nazi graffiti on a Sydney synagogue as ""vile"". A similar attack occurred on a house hours before.",4
345,10/1/2025,9,Evening News Bulletin 10 January 2025,Sunil Awasthi,https://www.sbs.com.au/news/podcast-episode/evening-news-bulletin-10-january-2025/fi0hv8kmz,2,6,70,14,2,9,A man has been killed by gunshots in a suspected organised crime case in Melbourne.,4
346,11/1/2025,2,Venezuela's Maduro takes new oath amid protests and international rebuke,Andrew Hilliar,https://www.france24.com/en/video/20250111-venezuela-s-maduro-takes-new-oath-amid-protests-and-international-rebuke,4,13,71,14,1;2;12,189,Maduro was inaugurated despite protests and internation condemnation over a stolen election last year.,4
347,11/1/2025,2,"DRC: More than 100,000 people displaced so far in 2025",Clément di Roma,https://www.france24.com/en/video/20250111-drc-more-than-100-000-people-displaced-so-far-in-2025,1,17,71,18,1,40,"The UN has released a new report into the conditions in DRC, estimating more than 100000 displaced since the start of 2025 by the violence. It also notes 3000-4000 of Rwandan soldiers among the M23 militia, supporting claims of Rwandan involvement.",4
348,11/1/2025,2,Post-election violence in Mozambique forces thousands to flee to Malawi,,https://www.france24.com/en/video/20250111-post-election-violence-in-mozambique-forces-thousands-to-flee-to-malawi,3,20,71,14,1;12,118,The ongoing political instability in Mozambique forces thousands more from the country. The return of Mondlane to Mozambique has intiated the latest protests and rallies.,4
349,11/1/2025,2,Algeria slams France's 'campaign of disinformation' amid row over deported influencer,,https://www.france24.com/en/africa/20250111-algeria-slams-france-s-campaign-of-disinformation-amid-row-over-deported-influencer,1,11,71;73,11,11,3;61,"Algeria has accused France of conducted a ""campaign of disinformation"" after disagreements over the deportation of Algerian men in France charged with inciting violence online.",4
350,11/1/2025,2,German election: 'The AfD is trying to present a more moderate image',Claire Burchett,https://www.france24.com/en/video/20250111-protests-delay-start-of-german-far-right-party-the-afd-is-trying-to-present-a-more-moderate-image,3,20,71,14,10,65,German protests took place to delay a meeting and convention for the far-right political party Alternative for Germany.,4
351,11/1/22025,2,Thousands of South Koreans protest in rival rallies as impeached Yoon faces new arrest attempt,,https://www.france24.com/en/live-news/20250111-thousands-of-south-koreans-protest-as-president-digs-heels-in,3,20,71,14;15,10,162,Thousands gather in rival protests in anticipiation of another arrest attempt of impeached President Yoon.,4
352,11/1/2025,2,‘No to Nazis’: Protesters delay start of German far-right AfD party congress,,https://www.france24.com/en/live-news/20250111-protests-delay-start-of-german-far-right-party-s-key-meet,3,20,70,14,10,65,Thousands gathered in Riesa to impede the meeting of the far-right politcial party Alternative for German. More portests are expected as elections approach.,4
353,11/1/2025,5,Canada imposes new sanctions as Venezuelan President Maduro sworn in despite global condemnation [updated],,https://www.cbc.ca/news/world/venezuela-maduro-sworn-in-1.7428114,4,13,71,6,3,189,Canada has imposed sanctions on 14 government officials for human rights violations as Maduro is swon back in as president after an election recognised by very few countries.,4
354,11/1/2025,5,"Edgar Welch, gunman from 'Pizzagate' political conspiracy case, shot dead by N.C. police [updated]",,https://www.cbc.ca/news/world/pizzagate-gunman-killed-1.7427770,2,14,71,1,8,185,"Edgar Welch, the man who fired a gun in a restaurant due to the ""Pizzagate"" conspiracy in 2017, was fatally shot by police after drawing an handgun on them.",4
355,11/1/2025,9,Midday News Bulletin 11 January 2025,Sam Dover,https://www.sbs.com.au/news/podcast-episode/midday-news-bulletin-11-january-2025/tfv5bqsjg,2,11,71,14,2,9,Another synagogue in Syndey has been vandalised with antisemitic Nazi symbology.,4
356,11/1/2025,9,Evening News Bulletin 11 January 2024,Sunil Awasthi,https://www.sbs.com.au/news/podcast-episode/evening-news-bulletin-11-january-2024/8kxjzyen8,2,11,71,14,1,9,Another antisemitic attack in Australia sees Nazi graffiti on a synagogue in Syndey. The Premier annnounces an axtension to secuirt grants for the Jewish community.,4
357,12/1/2025,2,Germany battles to secure stricken 'Russian shadow fleet' oil tanker,,https://www.france24.com/en/video/20250112-germany-battles-to-secure-stricken-russian-shadow-fleet-oil-tanker,4,13,71,16,2,202,Germany has rescued a failing oil tanker part of Russia's shadow fleet. The German Foreign Minister has accused Putin of endagering movement in the Baltic sea in his attempts to avoid sanctions. Addition restrictions are being discussed by NATo and the EU,4
358,12/1/2025,2,Sudan: Rapid Support Forces leader confirms 'lost' Wad Madani,Charlotte,https://www.france24.com/en/video/20250112-rsf-leader-confirms-lost-wad-madani,4,17,71,19,1,166,The Sudanese Amry has removed Rapid Support Forces militia from the Al-Jazira state capital Wad Madani. The UN confirms that both sides of the conflict have committed actions which may amount to war crimes.,4
359,12/1/2025,5,"Violent Jan. 6 rioters shouldn't be part of Trump pardons, says incoming vice-president [updated]",,https://www.cbc.ca/news/world/vance-jan-6-riot-pardon-1.7429378,1,11,70,6,10,185,"US vice-president elect confirms that all people who ""protested peacefully"" during the 2020 Capitol riots will be pardoned. More than 1500 people have been charged with federal crimes federal crimes, including seditious conspiracy.",4
360,12/1/2-25,9,Midday News Bulletin 12 January 2025,Essam Al-Ghalib,https://www.sbs.com.au/news/podcast-episode/midday-news-bulletin-12-january-2025/u4t1ra1fw,2,19,70,14,3,9,An attempted arson attack at a Syndey synagogue has been recommended to the Strike Force Pearl counterterrorism team to investigate.,4
361,12/1/2025,9,Extra security for Jewish institutions as images released after Sydney synagogue attack,,https://www.sbs.com.au/news/article/extra-security-for-jewish-institutions-as-images-released-after-sydney-synagogue-attack/l2un535z5,2,19,70,14,3,9,The NSW government has confirmed increased security funding for Jewish institutions after an attempted arson attack on a Syndey synagoue. The act is being investigated by the counterterrorism command.,4
362,12/1/2025,9,"'Devastated' Syria's new regime wants help, but should Australia loosen its stance?",Madeleine Wedesweiler,https://www.sbs.com.au/news/article/should-australia-loosen-its-stance-on-devastated-syria/bzsj4man1,4,13,71;73,20,1;2;12,170,"The US has announced a sanction exemption for Syria to facilitate humanitarian assistance and promote rebuilding. Lifted sanctions indicate a move towards accepting Hay'at Tahrir al-Sham, with the potential of removing terrorist designations.",4
363,13/1/2025,2,"Chad going through 'very difficult situation, mainly because of position in Sudan war'","Enrica Picco, François Picard",https://www.france24.com/en/video/20250113-chad-going-through-very-difficult-situation-mainly-because-of-position-in-sudan-war,2,19,71,6,2,34,20 gunmen are dead after an attack on the presidential palace. The Central Africa project director at the International Crisis Group describes increasing fears regarding a coup in recent months which has put the government on high alert.,4
364,13/1/2025,2,'Syrian above all': The Alawite community refuses to pay for Assad's crimes,Assiya Hamza,https://www.france24.com/en/middle-east/20250113-syrian-above-all-the-alawite-community-refuses-to-pay-for-assad-crimes,4,9,71;73,11,13,170,"Alawite ex-soldiers report being assaulted and detained by HTS militants at checkpoint stations. Government authorities describe the attacks as isolated, fueled by false media. The HR Observatory estimates 150 Alwaites have been killed in January.",4
365,13/1/2025,2,Sudan: army takes over strategic city from RSF,"Laura Di Biasio, Yinka Oyetade, Aurelie Kouman, Clément Di Roma, Laurent Berstecher",https://www.france24.com/en/tv-shows/eye-on-africa/20250113-sudan-army-takes-over-strategic-city-from-rsf,4,13,71,19,2,166,The capital of the Al Jazirah state has been recaptured by the Sudnaense army from the RSF. This is celebrated as a potential turning point in the conflict which has displaced 12 million people. Both sides are accused of commiting war crimes.,4
366,13/1/2025,2,'Far from over': Much more uncertainty within Maduro regime than govt ever expected,"Gavin Lee, Daniel Lansberg-Rodriguez",https://www.france24.com/en/video/20250113-far-from-over-much-more-uncertainty-within-maduro-regime-than-govt-ever-expected,3,20,70,14,1;2;12,189,Gonzalez has promised to return to Venezeula despite an arrest warrant against him and the inauguration of Maduro. Venzeuelans are protesting agaisnt the government.,4
367,13/1/2025,5,"Violent Jan. 6 rioters shouldn't be part of Trump pardons, says incoming vice-president [updaated]",,https://www.cbc.ca/news/world/vance-jan-6-riot-pardon-1.7429378,1,11,71,6,10,185,"President-elect Trump has promised to pardon all those involved in the 2020 capitol riots. More than 1500 people have been charged federally. The vice-president-elect  states those responsbile for violence will ""obviously"" not be considered.",4
368,13/1/2025,9,Morning News Bulletin 13 January 2025,Essam Al-Ghalib,https://www.sbs.com.au/news/podcast-episode/morning-news-bulletin-13-january-2025/m5nggn6yf,1,11,71,14,3,9,The counterterrorism team are now leading the investigation into the arson attempt on a Sydney synagoue. Police are also searching for perpetrators of Nazi graffiti.,4
369,13/1/2025,9,Midday News Bulletin 13 January 2025,Deborah Groarke,https://www.sbs.com.au/news/podcast-episode/midday-news-bulletin-13-january-2025/q766lhmzc,2,11,71,14,3,9,Police express concerns about the increasing cases of antisemitic hate crimes in NSW. The most recent cases involve graffiti and an arson attempt.,4
370,14/1/2025,2,"West must keep adapting Russia sanctions and focus on enforcement, analyst says","Vedika Bahl, Yinka Oyetade",https://www.france24.com/en/video/20250114-west-must-keep-adapting-russia-sanctions-and-focus-on-enforcement-analyst-says,4,13,71,7;16,2,143,The UK and US have introduced new sanctions against Russia's largest oil companies and 183 indivudal vessels which operate as part of the shadow fleet. Oil represents 30-35% of Russia's exports.,4
371,14/1/2025,2,NATO to boost Baltic Sea patrols after cable 'sabotage' blamed on Russia,,https://www.france24.com/en/live-news/20250114-nato-baltic-leaders-set-to-boost-security-after-cable-sabotage,4,13,71,16,2,202,NATO counties are due to discuss bolstering security in the Baltic Sea following the increasing threat of Russian shadow fleet oil tankers.,4
372,14/1/2025,2,"Bolivians march four days to protest president, economy",,https://www.france24.com/en/video/20250114-bolivians-march-four-days-to-protest-president-economy,3,20,70,6;14,1;3,21,Thousands gather in protest outside the presidential palace after a 4-day march. Protesters used handmade explosives against police who used tear gas and rubber bullets in response. They are demanding the resignation of Bolivia's president Luis Arce.,4
373,14/1/2025,2,Bolivians march four days to protest against economic hardship,,https://www.france24.com/en/americas/20250114-bolivians-protest-president-economy,3,20,71,6;14,,21,"Thousands of protesters, supports of the ex-president Morales, are demanding the current president resigns for the economic crisis and fuel shortages. Two people have been arrested for violence.",4
374,14/1/2025,2,Impeachment trial of South Korea's Yoon adjourned after he does not attend,Yena Lee,https://www.france24.com/en/video/20250114-impeachment-trial-of-south-korea-s-yoon-adjourned-after-he-does-not-attend,4,13,71,5,10,162,The first hearing for the impeachment trial of Yoon Suk Yeol was adjourned after minutes due to the suspended president's absence. His lawyer asserts Yoon cannot attend the trial due to arrest attempts. The second hearing is due to proceed.,4
375,14/1/2025,2,Impeachment trial of South Korean President Yoon begins,,https://www.france24.com/en/asia-pacific/20250114-impeachment-trial-south-korean-president-yoon,4,13,71,14,2,162,"The impeachment trial against Yoon has begun, however the 1st trial lasted only minutes due to the suspended president's absence. The criminal investigation will run parallel to the impeachment proceedings.",4
376,14/1/2025,2,North Korea fires several suspected short-range ballistic missiles,,https://www.france24.com/en/asia-pacific/20250114-north-korea-short-range-ballistic-missiles,4,13,71,1,2,202,North Korean short-range ballistic missile testing in the Sea of Japan has been reported by South Korea's military.,4
377,14/1/2025,2,Sudanese army retakes strategic city of Wad Madani from RSF,Olivia Bizot,https://www.france24.com/en/video/20250114-sudanese-army-retakes-strategic-city-of-wad-madani-from-rsf,4,13,71,19,2,166,The Sudanese army has announced the successful removal the Rapid Support Forces paramilitary from the city of Wad Madani.,4
378,14/1/2025,5,"Trump engaged in 'unprecedented criminal effort,' special counsel says in final report on 2020 election case",Chris Iorfida,https://www.cbc.ca/news/world/us-special-counsel-report-trump-2020-election-1.7430518,4,6,71,6,2;11,185,"A US Justice Department report has found that the president-elect Trump ""engaged in unprecedented criminal effort to unlawfully retain power"" after the 2020 election. Trump's election terminated the potential indictments against him.",4
379,14/1/2025,5,"More than 1 million displaced in Haiti as gang violence rages, UN says",,https://www.cbc.ca/news/world/haiti-displaced-gang-violence-1.7430931,2,6,71,19,2;6,73,"More than 1 million people have been displaced from Haiti due to ""relentless gang violence"", according to the International Organisation for Migration. Deportations of Haiti nationals from other countries has worsened the crisis.",4
380,15/1/2025,2,Rohingya refugees face deadly gang violence in Bangladesh camps,"Lisa Gamonet, Nabel Ahmed, Navodita Numari",https://www.france24.com/en/tv-shows/focus/20250115-rohingya-refugees-face-deadly-gang-violence-in-bangladesh-camps,2,17,71,14,2;6,14;119,Over a million Rohingyas have been displaced from Myanmar due to persecution. Cross fighting in Bangladesh refugee camps between Rohingya armed groups has resulted in the deaths approximately 150 people in 2024 and 2025.,4
381,15/1/2025,2,"South Korean impeached President Yoon arrested, questionned in insurrection probe",Yena Lee,https://www.france24.com/en/video/20250115-south-korean-president-yoon-arrested-questionned-in-insurrection-probe,4,13,71,6;15,12,162,"South Korean authorities have successfully arrested impeached President Yoon. Though investigators were impeded by pro-Yoon rallies and barricades at the residence, there was little resistence during the second arrest attempt.",4
382,15/1/2025,2,South Korean investigators arrest impeached President Yoon,Yena Lee,/en/video/20250115-south-korean-investigators-arrest-impeached-president-yoon,4,13,71,6;15,2,162,Anit-corruption authorities successfully arrested President Yoon for investigation into insurrection charges after standoof which lasted weeks. Yoon can be held for 48 hours before requiring an additional warrant.,4
383,15/1/2025,2,Biden moves to lift state sponsor of terrorism designation for Cuba,,https://www.france24.com/en/video/20250115-biden-moves-to-lift-state-sponsor-of-terrorism-designation-for-cuba,4,13,71,20,13,43,"President Biden announced intentions to remove the state sponsor of terrorism designation from Cuba, which will involve the release of 550 political prisoners. Cubans fear the president-elect will reimpose sanctions when he takes office.",4
384,15/1/2025,2,Cuba to release more than 550 prisoners after being cleared from US terror list,,https://www.france24.com/en/americas/20250115-cuba-to-release-over-550-prisoners-after-being-cleared-from-us-terror-list,4,13,71,20,4,43,"The outgoing US president has  removed Cuba from the state sponsors of terrorism list in a deal negotiated by the Catholic Church. 553 political prisoners will be released alongside the move. However, it is likely to be overturned by the president-elect.",4
385,15/1/2025,2,Fighting intensifies between M23 and Congolese army in eastern provinces,Emmet Livingstone,https://www.france24.com/en/video/20250115-fighting-intensifies-between-m23-and-congolese-army-in-eastern-provinces,4,17,71,19,2;6,40,Conflict between the Congolese army and M23 escalates after the army gained control of several key locations in North Kivu and South Kivu provinces.,4
386,15/1/2025,2,South Korea's impeached President Yoon Suk Yeol arrested,Yena Lee,https://www.france24.com/en/asia-pacific/20250115-south-korea-investigators-breach-presidential-residence-in-fresh-bid-to-arrest-president-yoon,4,13,71,6;15,2;12,162,South Korean authorities have officially announced the arrest of impeached president Yoon as his insurrection trial begins. He has avoided arrest for weeks since declaring martial law.,4
387,15/1/2025,2,Mozambique inaugurates President Daniel Chapo amid deadly unrest over disputed election,,,3,20,71,15,13,118,"Daniel Chapo has been sworn in as Mozambican President, triggering renewed unrest. Seven people were killed in a protest.",4
388,15/1/2025,5,"More than 1 million displaced in Haiti as gang violence rages, UN says [updated]",,https://www.cbc.ca/news/world/haiti-displaced-gang-violence-1.7430931,2,6,71,19,2;6,73,"Severe, ongoing gang violence in Haiti has caused the displacement of more than 1 million people, a number which tripled in the last year. 200000 people have been forcibly returned to Haiti from neighbouring countries.",4
389,15/1/2025,5,Biden to lift Cuba's designation as a state sponsor of terror [updated],,https://www.cbc.ca/news/world/biden-trump-us-cuba-1.7431318,4,13,71,20,,43,The outgoing president announced intentions to removed the designation of state sponsor of terrorism from Cuba in a negotiation which will see 553 political prisoners released. US sanctions against Cuba will also ease.,4
390,15/1/2025,5,"Trump engaged in 'unprecedented criminal effort,' special counsel says in final report on 2020 election case [updated]",Chris Iorfida,https://www.cbc.ca/news/world/us-special-counsel-report-trump-2020-election-1.7430518,2,6,71,6,2;3,185,"A US Justice Department report has concluded that the president-elect engaged in ""unprecendented criminal effort to unlawfully retain power"" during the lost 2020 election.",4
391,15/1/2025,9,Midday News Bulletin 15 January 2025,Deborah Groarke,https://www.sbs.com.au/news/podcast-episode/midday-news-bulletin-15-january-2025/swxx8h0ir,2,19,71,14,12,9,"The Australian envoy to combat antisemitism has demanded harsher responses to antimsemitic attacks in Australia, including mandatory jail sentences for synagogue attacks.",4
392,15/1/2025,9,South Korean president Yoon Suk Yeol arrested over failed martial law bid,,https://www.sbs.com.au/news/article/south-korean-president-yoon-suk-yeol-arrested-over-failed-martial-law-bid/a7f6qjaya,4,13,71,6;15,10,162,The impeached South Korean President has been arrested for his failed declaration for martial law on December 3rd. More than 3000 police officers advanced on the presidential residence to fulfill the second warrant against him.,4
393,15/1/2025,9,Evening News Bulletin 15 January 2025,Deborah Groarke,https://www.sbs.com.au/news/podcast-episode/evening-news-bulletin-15-january-2025/afymo6spw,4,13,71,6;15,2,162,The South Korean president has been officially arrested after a two-month politcial turmoil. He will now be forced to attend his insurrection trial.,4
394,16/1/2025,2,Cuba begins release of jailed protesters under US terror list deal,,https://www.france24.com/en/americas/20250116-cuba-begins-release-of-jailed-protesters-under-us-terror-list-deal,4,13,71,20,5,43,"With the US state sponsor of terrorism against Cuba easing, political prisoners are beginning to be released. Many have been imprisoned since 2021 protests against the government.",4
395,16/1/2025,2,Impeached South Korean President Yoon to avoid new questioning over martial law bid,,https://www.france24.com/en/asia-pacific/20250116-impeached-south-korean-president-yoon-to-avoid-new-questioning-over-martial-law-bid,4,13,71,6,2,162,Yoon has resisted questioning during his insurrection hearing. Authorities only have 48 hours since arresting him to secure Yoon's detention.,4
396,16/1/2025,2,US blacklists Sudan army chief as Blinken voices regret over failure to end war,,https://www.france24.com/en/live-news/20250116-us-blacklists-sudan-army-chief-as-blinken-regrets-failure-to-end-war,4,13,71,20,12,166,"The US has imposed sanctions against the army chief of Suden, Abdel Fattah al-Burhan for failing to negotiate an end to the war in Sudan.",4
397,16/1/2025,2,'Almost inevitable' that South Korea's embattled president 'will be serving time in prison',"Nadia Massih, John Nilsson-Wright, Yena Lee",https://www.france24.com/en/video/20250116-almost-inevitable-that-south-korea-s-embattled-president-will-be-serving-time-in-prison,4,13,71,6,8,163,"Authorities have successfully arrested impeached Presidet Yoon for inciting insurrection. Investigators allegedly have 200 pages of questions to ask, but Yoon is maintaining silence in his hearing.",4
398,16/1/2025,9,Morning News Bulletin 16 January 2025,Essam Al-Ghalib,https://www.sbs.com.au/news/podcast-episode/morning-news-bulletin-16-january-2025/1lrb6wv4f,3,20,,17,8,9,Syndey rail industrial actions have resumed after a break. 40% of services were cancelled. Union leaders coninue to demand better pay.,4
1,7/8/2024,5,U.K. court names 17-year-old stabbing suspect to counter misinformation,The Associated Press,https://www.cbc.ca/news/world/britain-southport-stabbing-taylor-swift-class-riot-1.7282015,2,,,5,6,184,The 17-year-old boy charged with murdering three girls and stabbing 10 other people in a dance class was named in a U.K. court Thursday partly to counter misinformation about his identity that has been blamed for triggering violent protests across England.,2
2,7/8/2024,5,U.K.'s PM promises 'standing army' of police to deal with rioters in wake of dance class stabbings,The Associated Press,https://www.cbc.ca/news/britain-standing-army-police-riot-1.7285610,3,18,70,14,10,184,"False rumors spread online that the suspect of the Dance class stabbings was a Muslim and an asylum seeker, which led to the attacks on immigrants and Muslims. Police have said the suspect was born in Britain and are not treating it as a terrorist attack.",2
3,7/8/2024,7,‘They tried to kill people:’ Rotherham residents despair after riot at hotel housing asylum seekers,Christian Edwards,https://edition.cnn.com/2024/08/06/uk/rotherham-uk-far-right-riot-protest-intl/index.html,3,18,70,14,6;10,184,"Anti-migration protesters riots outside of the Holiday Inn Express in Manvers, which is being used as an asylum hotel, in  Rotherham, United Kingdom in response to the issue of immigration as in recent years the number of arrivals on England’s coast.",2
4,8/8/2024,2,Three Taylor Swift concerts cancelled in Vienna over fears of extremist attack,NEWS WIRES,https://www.france24.com/en/europe/20240808-three-taylor-swift-concerts-cancelled-in-vienna-over-fears-of-extremist-attack,1,9,45,14,1;2,10,"Austrian authorities arrested two suspected extremists, one of whom pledged allegiance to the Islamic State group, who had made ""preparatory actions"" for an attack on an upcoming event in Vienna, prompting the cancellation of three concerts.",2
5,8/8/2024,7,Taylor Swift shows in Vienna canceled over alleged planned terrorist attack,"Zahid Mahmood, Jessie Yeung and Issac Yee",https://edition.cnn.com/2024/08/07/entertainment/taylor-swift-concert-vienna-arrests/index.html,1,9,45,14,1;6;9,10,Organizers have canceled three Taylor Swift concerts in Austria after authorities said they foiled a terror attack planned for the Vienna leg of her blockbuster Eras tour.,2
6,8/8/2024,7,‘More of us than you’: Thousands of anti-racism protesters turn out to counter far-right rallies in UK,Christian Edwards and Rob Picheta,https://edition.cnn.com/2024/08/07/uk/uk-far-right-counter-protests-intl/index.html,3,12,71,6;9;14,1;2;9,184,"Thousands of anti-racism protesters have taken to the streets across the United Kingdom to counter a spate of far-right rallies planned to target immigration centers, seeming to thwart what looked set to be another day of rioting.",2
7,8/8/2024,7,Alleged Taylor Swift terror plot fits a worrying trend as ISIS targets teens online,Nick Paton Walsh,https://edition.cnn.com/2024/08/07/europe/taylor-swift-alleged-terror-plot-pattern-isis-k-analysis-intl-hnk,1,9,45,11;14,1;2;6;9,10,"The path of online teenage chatter turning to real-world plotting has become alarmingly common in recent months. A study by terrorism experts, showed teenagers accounted for nearly two thirds of ISIS-linked arrets in Europe in the previous nine months.",2
8,9/8/2024,7,Planning a 'bloodbath': Details emerge of Taylor Swift concert terror plot,APP,https://www.sbs.com.au/news/article/planning-a-bloodbath-details-emerge-of-taylor-swift-concert-terror-plot/8xcubwnlf,1,9,45,14,1;9,10,"An Austrian man arrested over an alleged plot to strike a Taylor Swift concert in Vienna planned to carry out a suicide attack with two accomplicesthat would have caused a ""bloodbath"".",2
9,8/8/2024,5,Cancellations come after apparent attack plot foiled,Brock Wilson,https://www.cbc.ca/news/entertainment/swifties-gather-in-vienna-after-concerts-cancelled-over-attack-plot-1.7288576,1,9,45,14,9,10,"During a raid of the main suspect's home in Ternitz, south of Vienna, investigators found chemical substances and technical devices that indicated ""concrete preparatory acts,"" said Franz Ruf.",2
10,8/8/2024,7,"Israel will send negotiators to ceasefire, hostage release talks",Thomson Reuters,https://www.cbc.ca/news/world/israel-hamas-gaza-negotiations-1.7289477,4,10,71,20,4,52;82;185,"Leaders of the United States, Egypt and Qatar on Thursday called on Israel and Hamas to meet for negotiations on Aug. 15 in order to finalize a ceasefire and hostage release deal.",2
11,8/8/2024,2,"Kenyan police fire tear gas at Nairobi protests, injuring several journalists",News Wires,https://www.france24.com/en/africa/20240808-kenya-police-fire-tear-gas-at-nairobi-protests-injuring-several-journalists,3,12,71,6,3,89,Kenyan police on Thursday fired tear gas to clear pockets of protesters in Nairobi calling for President William Ruto's resignation as a revamped cabinet was sworn in. At least 60 peope have been killed since the demonstrations began in mid-June.,2
12,8/8/2024,2,Suspects in foiled attack on Taylor Swift Vienna concerts inspired by IS group,News Wires,https://www.france24.com/en/europe/20240808-three-taylor-swift-concerts-cancelled-in-vienna-over-fears-of-extremist-attack,1,9,10;45,14,9,10,"The two suspects in an alleged plot to attack three Taylor Swift concerts in Vienna appeared to have been inspired by the Islamic State group and al-Qaida, Austrian officials said on Thursday.",2
13,8/8/2024,7,Thousands rally against racism in several UK cities,Caitlin Kelly,https://www.france24.com/en/video/20240808-thousands-rally-against-racism-in-several-uk-cities,3,10,70,14,13,184,Thousands of anti-racism protesters took to the streets in several English cities on Wednesday to oppose violent far-right demonstrations that have gripped the country in recent days.,2
14,8/8/2024,7,Kenyan youth call for ‘mother of all protests’ as president swears in new cabinet,Larry Madowo,https://edition.cnn.com/2024/08/08/africa/kenyan-youth-protests-intl/index.html,3,16,70,6;9,10,89,Young protesters in Kenya returned to the capital’s streets for an eighth week of demonstrations on Thursday as President William Ruto swore in a new cabinet. Police fired tear gas at protesters in Nairobi city center as many businesses remain closed.,2
15,8/8/2024,7,‘More of us than you’: Thousands of anti-racism protesters turn out to counter far-right rallies in UK,Christian Edwards and Rob Picheta,https://edition.cnn.com/2024/08/07/uk/uk-far-right-counter-protests-intl/index.html,3,10,70,14,11,184,"Thousands of anti-racism protesters have taken to the streets across the United Kingdom to counter a spate of far-right rallies planned to target immigration centers, seeming to thwart what looked set to be another day of rioting.",2
16,9/8/2024,2,Guards beat female inmates at Iran's Evin prison as they protest executions,News Wires,https://www.france24.com/en/live-news/20240809-guards-female-inmates-clash-at-iran-evin-prison-nobel-winner-s-family,3,10,70,9;19,9,79,Guards beat inmates at Evin prison in Tehran on Tuesday as they protested against a spate of recent executions.  The protest by prisoners against the execution of Reza Rasaei led to a violent crackdown by prison guards and security agents.,2
17,9/8/2024,2,Kenya: police fire tear gas at protesters calling for president Ruto's resignation,Olivia BIZOT,https://www.france24.com/en/video/20240809-kenya-police-fire-tear-gas-at-protesters-calling-for-president-ruto-s-resignation,3,12,70,6;9;19,10;11,89,"Clashes broke out on Thursday between demonstrators and police in Nairobi, as protests by Generation Z entered their second month. In a statement, Reporters Without Borders denounced ""violence against journalists"" by the police.",2
18,9/8/2024,2,Former president of Ghana John Mahama cleared in Airbus corruption scandal,Justice BAIDOO,https://www.france24.com/en/video/20240809-former-president-of-ghana-john-mahama-cleared-in-airbus-corruption-scandal,4,14,71,1,8;9,66,"Former Ghanaian president, John Mahama has been cleared of any corruption allegations by the special prosecutor. His brother had been accused of accepting bribes on behalf of the head of state from aerospace giant Airbus.",2
